dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,5,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,9,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,4,text,null,UNIQUE
postgresql,postgres,null,null,null,1,text,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,4,text,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,10,timestamp with time zone,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,bigint,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,character varying,255,UNIQUE
postgresql,postgres,null,null,null,3,text,null,UNIQUE
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,22,text,null,UNIQUE
postgresql,postgres,null,null,null,2,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,uuid,null,UNIQUE
postgresql,postgres,null,null,null,10,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,9,timestamp without time zone,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,bigint,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,bigint,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,integer,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,5,text,null,UNIQUE
postgresql,postgres,null,null,null,1,text,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sessions,id,1,uuid,null,FOREIGN KEY
postgresql,postgres,auth,mfa_factors,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sessions,id,9,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sso_providers,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,flow_state,id,9,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sso_providers,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,sso_providers,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,public,profiles,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,2,text,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,1,text,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,4,text,null,FOREIGN KEY
postgresql,postgres,storage,buckets,id,5,text,null,FOREIGN KEY
postgresql,postgres,storage,s3_multipart_uploads,id,2,text,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,2,text,null,UNIQUE
postgresql,postgres,null,null,null,13,text,null,UNIQUE
postgresql,postgres,auth,oauth_clients,id,3,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,4,uuid,null,FOREIGN KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,uuid,null,UNIQUE
postgresql,postgres,null,null,null,2,uuid,null,UNIQUE
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,auth,oauth_clients,id,3,uuid,null,FOREIGN KEY
postgresql,postgres,auth,oauth_clients,id,12,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,null,null,null,3,USER-DEFINED,null,UNIQUE
postgresql,postgres,null,null,null,2,uuid,null,UNIQUE
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,public,workouts,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,public,exercises,id,3,uuid,null,FOREIGN KEY
postgresql,postgres,null,null,null,1,uuid,null,PRIMARY KEY
postgresql,postgres,auth,users,id,2,uuid,null,FOREIGN KEY
postgresql,postgres,public,workouts,id,3,uuid,null,FOREIGN KEY
